Component, Origin, License, Copyright
babel-core, https://github.com/babel/babel, MIT, 2014-2017
babel-loader, https://github.com/babel/babel-loader, MIT, 2014-2016
babel-plugin-transform-async-to-generator, https://github.com/babel/babel, MIT, 2014-2017
babel-plugin-transform-runtime,  https://github.com/babel/babel, MIT, 2014-2017
babel-polyfill,  https://github.com/babel/babel, MIT, 2014-2017
babel-preset-es2015, https://github.com/babel/babel, MIT, 2014-2017
serverless-pseudo-parameters, https://github.com/svdgraaf/serverless-pseudo-parameters, MIT, unknown
serverless-step-functions, https://github.com/horike37/serverless-step-functions, MIT, 2017
serverless-webpack, https://github.com/serverless-heaven/serverless-webpack, MIT, unknown
serverless, https://github.com/serverless/serverless, MIT, 2017
webpack, https://github.com/webpack/webpack, MIT, ?
aws-sdk, https://github.com/aws/aws-sdk-js/, Apache 2, ?
file-type, https://github.com/sindresorhus/file-type, MIT, ?
luxon, https://github.com/moment/luxon, MIT, 2017
simple-git, https://github.com/steveukx/git-js, MIT,  2015
mz, https://github.com/normalize/mz, MIT, 2014-2016
unirest, https://github.com/Kong/unirest-nodejs, MIT, 2013-2015
